# RA = 06 40 7.20(100.029985)
# Dec = -12 53 15.57(-12.887658)
14.736397     0.000000    -10.910502   0.033273    55674.40948    55674.40948
14.736397     0.000000    -10.894502   0.033273    55674.4272    55674.4272
14.736397     0.000000    -10.882502   0.033273    56396.43375    56396.43375
14.736397     0.000000    -10.930502   0.033273    56396.44445    56396.44445
14.736397     0.000000    -11.126502   0.037628    56396.45528    56396.45528
14.736397     0.000000    -11.446502   0.050986    56396.45528    56396.45528
14.736397     0.000000    -10.942502   0.033273    56396.46599    56396.46599
# 2MASS (id = 4)
# Log   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
14.385428     0.000000    -11.057881   0.027255 0.0   0.0
14.256477     0.000000    -11.109912   0.028109 0.0   0.0
14.143015     0.000000    -11.156908   0.024278 0.0   0.0
# VLSS (id = 3)
# Log   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
7.869232     0.000000    -15.191249   0.065384    52275.5    52609.5
# PMN (id = 2)
# Log   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
9.685742     0.000000    -14.174379   0.041033    48043.5    48196.5
# NVSS (id = 1)
# Log   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
9.146128     0.000000    -14.501343   0.013055    49231.5    50508.5
